    CÓDIGO | DESCRIÇÃO                                                |  PREÇO U$         
     44577 | DVD PORTATIL TV  7'' ORANGE OR-PD7000D BLANCO            |     115.00
     45788 | DVD PORTATIL TV  7'' ORANGE OR-PD7000D NEGRO             |     115.00
     44778 | DVD PORTATIL TV  7'' ORANGE OR-PD7001D BLANCO            |     115.00
     45779 | DVD PORTATIL TV  7'' ORANGE OR-PD7001D NEGRO             |     115.00
     71083 | DVD PORTATIL TV  7'' ORANGE OR-PD710 BLANCO              |      86.00
     80710 | DVD PORTATIL TV  7'' ORANGE OR-PD710 NEGRO               |      86.00
     87730 | DVD PORTATIL TV  7'' ORANGE OR-PD730 BLANCO              |      86.00
     76818 | DVD PORTATIL TV  7.5'' SKYMEDIA SP768D ROSADO            |      74.00
     74003 | DVD PORTATIL TV  7.5'' X-TECH XT-P0004 BLANCO            |      77.00
     74002 | DVD PORTATIL TV  7.5'' X-TECH XT-P0004 NEGRO             |      85.00
     84164 | DVD PORTATIL TV  7.5'' X-TECH XT-P0004 ROJO              |      85.00
     95054 | DVD PORTATIL TV  9'' BAK BK-DVD-9505 NEGRO               |      94.00
     90506 | DVD PORTATIL TV  9'' MOX MO-9050 GAME NEGRO              |      96.00
     90505 | DVD PORTATIL TV  9'' MOX MO-9090 BLANCO/NEGRO            |      94.00
     99090 | DVD PORTATIL TV  9'' MOX MO-9090 PLATA/NEGRO             |     105.00
     51211 | DVD PORTATIL TV  9'' MOX MO-9090 ROJO/NEGRO              |      92.00
     99543 | DVD PORTATIL TV  9'' ORANGE OR-PD910 ROSADO              |     104.00
     90013 | DVD PORTATIL TV  9'' X-TECH XT-P9001 AZUL                |      99.00
     90014 | DVD PORTATIL TV  9'' X-TECH XT-P9001 BLANCO              |      97.00
     90019 | DVD PORTATIL TV  9'' X-TECH XT-P9001 NEGRO               |     102.00
     90016 | DVD PORTATIL TV  9'' X-TECH XT-P9001 ROJO                |      97.00
     13044 | DVD PORTATIL TV 13'' BAK BK-DVD-1341 NEGRO               |     141.00
     23360 | DVD PORTATIL TVD  9'' BAK BK-DVD-9540DTV NEGRO           |     129.00
     60954 | DVD PORTATIL TVD  9'' BAK BK-DVD-9540DTV PLATA           |     136.00
     51040 | DVD PORTATIL TVD 10.1'' BAK BK-DVD-1040DTV NEGRO         |     142.00
     10407 | DVD PORTATIL TVD 10.1'' BAK BK-DVD-1040DTV PLATA         |     142.00
     51340 | DVD PORTATIL TVD 12.1'' BAK BK-DVD-1340DTV NEGRO         |     169.00
     13406 | DVD PORTATIL TVD 12.1'' BAK BK-DVD-1340DTV PLATA         |     169.00
     53277 | EBOOK BAK BK-EB277 4GB FM BLANCO                         |      90.00
     27759 | EBOOK BAK BK-EB277 4GB NEGRO                             |      90.00
     29565 | EBOOK BAK BK-EB295 4GB BLANCO                            |      88.00
     62958 | EBOOK BAK BK-EB295 4GB NEGRO                             |      88.00
     13305 | EBOOK ROADSTAR RS-501EB 5'' FM BLANCO                    |      79.00
     14009 | ESTAB 1000W FGT BIVOLT 3-110/2-220                       |      28.00
     10156 | ESTAB 1000W MICROFINS BIVOLT 1-110/1-220                 |      26.00
     15057 | ESTAB 1500W MICROFINS BIVOLT 1-110/1-220                 |      29.00
     12620 | ESTAB 2000W FGT BIVOLT 3-110/2-220                       |      36.00
     25468 | ESTAB 2000W MICROFINS BIVOLT 1-110/2-220                 |      34.00
     56890 | FAN LGA i3-i5 1156P OEM                                  |      11.00
     60188 | FAN LGA P4 775P INTEL BASE COBRE P/ C2D                  |       7.50
       353 | FAN P/ GAB EXAUSTOR BLOWER (G)                           |       4.00
     66695 | FAN P/ GAB EXAUSTOR JXG 8X8  NEGRO/TRANSP.               |       2.50
     32656 | FAN P/ HD 2 FANS HD 3.5'' LYF (E)                        |       4.00
      7901 | FAN P/GAB SATELITE PRETO 12X12                           |       3.50
     28282 | FAN PGA K7 VIEWTECH AMD 2800-2CI BOX                     |       5.00
       853 | FAN PGA K7/P3 MTEK SKV0358W  (ND19)                      |       4.50
      1975 | FAN PGA K7/P3 OMEGA 22ND50 BASE COBRE (G)                |       6.00
      7454 | FAN PGA K8 754P AMD ORIGINAL                             |       6.50
       147 | FAN PGA P4 478P INTEL ORIGINAL                           |       7.00
     20082 | FILMADORA CARD OR-008 2GB MP3 USB                        |      45.00
     25289 | FILMADORA JVC GR-SXM289UM SUPER VHS                      |     110.00
     25348 | FILMADORA JVC GZ-MG730 30GB EVERIO NEGRO                 |     375.00
     37610 | FILMADORA JVC GZ-MS120 EVERIO AZUL                       |     237.00
     37627 | FILMADORA JVC GZ-MS120 EVERIO ROJO                       |     237.00
     37641 | FILMADORA JVC GZ-MS130 EVERIO16GB NEGRO                  |     280.00
     83188 | FILMADORA KODAK MINI ZM1 2GB GRIS                        |      62.00
     95105 | FILMADORA MOX MO-HDV100 PLATA                            |      71.00
     51108 | FILMADORA MOX MO-HDV110 NEGRO                            |      91.00
     12057 | FILMADORA MOX MO-HDV120 HDMI NEGRO                       |     114.00
     20071 | FILMADORA PANASONIC AG-HVX200P NTSC                      |   4,600.00
     30382 | FILMADORA SAMSUNG HMX-Q10BN FULL HD NEGRO                |     245.00
     16534 | FILMADORA SAMSUNG HMX-Q10PN FULL HD ROSADO               |     240.00
     66365 | FILMADORA SAMSUNG HMX-T10ON FULL HD ROJO                 |     234.00
     68468 | FILMADORA SONY DCR-SR68 80GB HANDYCAM PLATA              |     360.00
     33620 | FILMADORA SONY DSR-250 DVCAM NTSC                        |   3,770.00
     81000 | FILMADORA SONY HVR-HD1000N                               |   1,480.00
     11147 | FILMADORA SONY HVR-V1N JP                                |   3,970.00
     12264 | FILMADORA SONY HVR-Z1N                                   |   4,260.00
     45517 | FILMADORA SONY HVR-Z5N                                   |   4,300.00
     31271 | FILMADORA SONY HVR-Z7N                                   |   5,600.00
     22409 | FILMADORA SONY HXR-MC2000N S/ BOLSA                      |   1,700.00
     50232 | FILMADORA SONY HXR-MC50N E32 HDMI                        |   1,830.00
      3522 | FILTRO DE LINHA 10T NEGRO                                |       4.00
     66016 | FILTRO DE LINHA SHARK SK-FIT06 6T NEGRO                  |       5.00
      1556 | FITA DAT DE LIMPEZA                                      |       2.00
     31729 | FONE ACS ILUV iEA10 BLANCO                               |       7.00
     31712 | FONE ACS ILUV iEA10 NEGRO                                |       7.00
     61161 | FONE BAK BK-61 BLANCO                                    |       4.00
     67267 | FONE BAK BK-67 NEGRO                                     |       4.00
     31231 | FONE ILUV i203 AZUL                                      |      14.00
     31248 | FONE ILUV i203 ROSADO                                    |      14.00
     31293 | FONE ILUV i303 BLANCO                                    |      17.00
     31262 | FONE ILUV i303 NEGRO                                     |      17.00
     31347 | FONE ILUV iEP311 BLANCO                                  |       9.00
     31330 | FONE ILUV iEP311 ROSADO                                  |       9.00
     53126 | FONE ILUV iEP312 AZUL                                    |      15.00
     31292 | FONE ILUV iEP312 PLATA                                   |      15.00
     28313 | FONE ILUV iEP313 ROSADO                                  |      15.00
     63133 | FONE ILUV iEP313 VERDE                                   |      15.00
     50587 | FONE ILUV iEP505 PREMIUM AZUL                            |      25.00
     23505 | FONE ILUV iEP505 PREMIUM NEGRO                           |      25.00
     95057 | FONE ILUV iEP505 PREMIUM ROSADO                          |      25.00
     71144 | FONE KLIPX KHP-225 NEGRO (B)                             |      10.00
     71238 | FONE KLIPX KHP-440 NEGRO                                 |      10.50
     55458 | FONE KLIPX KSE-100 SPORT PLATA                           |       6.00
     61620 | FONE KLIPX KSE-100A SPORT AZUL                           |       5.00
     45588 | FONE KLIPX KSE-100P SPORT ROSADO                         |       6.00
     34617 | FONE MAXELL IRHP-9000  WIRELESS (B)                      |      52.00
     62055 | FONE MERKURY M-HL620 ROSADO/BLANCO                       |      15.00
     23041 | FONE MERKURY M-HL635 NARANJA/ROJO                        |      15.00
     67002 | FONE MERKURY M-HL670 ROJO/VERDE                          |      15.00
     66478 | FONE MERKURY M-HS660 CAVEIRA PLATA                       |      12.50
     66586 | FONE MERKURY M-HS665 CAVEIRA DORADA                      |      12.50
     50833 | FONE MERKURY M-HW160 WIRELESS NEGRO                      |      17.00
     21044 | FONE MERKURY M-HW210 WIRELESS NEGRO                      |      16.00
     44772 | FONE MERKURY MB-EB1EP ROSADO/VERDE                       |      11.00
     77457 | FONE MERKURY MB-EB1LC ROSADO/LILA                        |      11.00
     62970 | FONE MERKURY MB-EB1MU ROSADO/NARANJA                     |      10.50
     77144 | FONE MERKURY MB-EB1PL ROSADO/LEOPARD                     |      11.50
     63131 | FONE MERKURY MB-EB1RS ROSADO/AZUL                        |      11.50
     80990 | FONE MERKURY MB-HL2CL ROSADO/LILA                        |      14.00
     80899 | FONE MERKURY MB-HL2EA VERDE/BLANCO                       |      16.00
     81406 | FONE MERKURY MB-HL2PL ROSADO/LEOPARD                     |      14.00
     80677 | FONE MERKURY MB-HL2SP ROSADO FLOR                        |      14.50
     63480 | FONE MERKURY MB-HL2ST ROSADO/MARRON                      |      16.00
     63939 | FONE MERKURY MB-HL2UN VERDE/AZUL                         |      16.00
     82430 | FONE MERKURY TMC-HL9RM VERDE/NEGRO                       |      16.00
     88978 | FONE MERKURY TMC-HL9UC NEGRO/BLANCO                      |      16.00
     26256 | FONE MERKURY TMC-HL9ZC NEGRO/GRIS                        |      16.00
     81116 | FONE NPARTS Z-G8111 WIRELESS NEGRO                       |      42.00
     81123 | FONE NPARTS Z-G8112 WIRELESS NEGRO                       |      42.00
       220 | FONTE  MOFAX USR EXT 220 VOLTS                           |      11.00
     68456 | FONTE * P4 * ARCHIEVE 500W P4-500W                       |      12.00
     84679 | FONTE * P4 * ARCHIEVE 550W P4-550W                       |      13.00
     80600 | FONTE * P4 * ASVOTEK ULTRA AV-800 600W 20/24P            |      69.00
     45550 | FONTE * P4 * CORSAIR  550W CMPSU- 550VX (G)              |     110.00
     50650 | FONTE * P4 * CORSAIR  650W CMPSU- 650TX (E)              |     115.00
     75012 | FONTE * P4 * CORSAIR  750W CMPSU- 750TX                  |     135.00
     10197 | FONTE * P4 * CORSAIR 1000W CMPSU-1000HX  (G)             |     315.00
      6393 | FONTE * P4 * DR.HANK 230W PN-230E MINI                   |      19.00
      1904 | FONTE * P4 * DR.HANK 250W PX-250W                        |      15.00
      2096 | FONTE * P4 * DR.HANK 500W REAL 24P                       |      50.00
     52364 | FONTE * P4 * DR.HANK 700W REAL 24                        |      85.00
     60509 | FONTE * P4 * E-LINK ULTRA EL250 250W 20/24P              |      11.00
      5024 | FONTE * P4 * MTEK  500W 20+4=24PINOS                     |      11.00
       801 | FONTE * P4 * MTEK  550W 24/20P BIG FAN                   |      20.00
      9580 | FONTE * P4 * MTEK  650W 24/20P+CABO BIG                  |      24.50
     75852 | FONTE * P4 * MTEK  750W REAL XTREME BIVOLT               |     110.00
     11300 | FONTE * P4 * PIXXO 300W REAL PK-300 20P+4                |      19.00
     18608 | FONTE * P4 * PIXXO 500W MINI PX-500 24P                  |      13.00
     24500 | FONTE * P4 * PIXXO 500W REAL PW-500 24P                  |      47.00
     65010 | FONTE * P4 * PIXXO 650W REAL PG-650 24P+8                |      81.00
     88050 | FONTE * P4 * PIXXO 800W REAL PE-800S 24P+8               |     160.00
     21108 | FONTE * P4 * PIXXO-1000W REAL PE-1K0S 24P+8              |     190.00
      7781 | FONTE * P4 * SATEL. 400W 545K8 20/24                     |      38.00
      0600 | FONTE * P4 * SATEL. 600W SL-8600EPS                      |      80.00
      0508 | FONTE * P4 * SATEL.-1000W SL-X1000 FAN 14CM              |     132.00
     18509 | FONTE * P4 * XFX  XPS-850W-BES                           |     150.00
     14509 | FONTE * P4 * XFX PRO450S EDITION FULL                    |      67.00
     15509 | FONTE * P4 * XFX PRO550W EDITION FULL                    |      84.00
     60525 | FONTE * P4 * XFX PRO650W EDITION FULL                    |     115.00
     80750 | FONTE * P4 * XFX PRO750W-SEW EDITION FULL                |     145.00
     17129 | FONTE INVERTER P/CARRO 12V/220 USB (B)                   |      19.00
     22075 | FONTE INVERTER P/CARRO 75W 12V/220                       |      16.00
      7504 | GAB. ATX P3/4 SATEL. 311KP ACRILICO NEGRO                |      50.00
      7624 | GAB. ATX P3/4 SATEL. X-BLADE NEGRO                       |      55.00
     53144 | GAB. ATX P4 FREE K3 3B NEGRO                             |      30.00
     54276 | GAB. ATX P4 FREE KR-1 2B NEGRO                           |      30.00
     99101 | GAB. P4 PIXXO 9A91 MINI NEGRO BIVOLT                     |      45.00
     88098 | GAB. P4 PIXXO 9E8 MINI NEGRO BIVOLT                      |      34.00
     68645 | GAB. P4 PIXXO CG-6B6 4B NEGRO BIVOLT                     |      57.00
     70907 | GAB. PARA TORRE  7 BAIAS IDE                             |      80.00
     70719 | GAB. PARA TORRE  7 BAIAS SATA                            |      90.00
     90269 | GAB. PARA TORRE  9 BAIAS SATA BLANCO                     |      90.00
     90658 | GAB. PARA TORRE  9 BAIAS SATA NEGRO                      |      90.00
     12038 | GAB. PARA TORRE 12 BAIAS IDE BLANCO                      |      80.00
     12034 | GAB. PARA TORRE 12 BAIAS IDE NEGRO                       |      90.00
     21238 | GAB. PARA TORRE 12 BAIAS SATA BLANCO                     |     105.00
     71253 | GAB. PARA TORRE 12 BAIAS SATA NEGRO                      |     100.00
     17665 | GAB. SERVIDOR DR.HANK CS-7665 500W                       |      96.00
     26740 | GAB/KIT P4 DR.HANK 2F67 4B ABNT NEGRO                    |      42.00
     41267 | GAB/KIT P4 DR.HANK 2F67 4B ESPNHOL NEGRO                 |      42.00
     19535 | GAB/KIT P4 DR.HANK 3167 PANTERA 4B                       |      42.00
     31614 | GAB/KIT P4 DR.HANK 3167 PANTERA 4B ESP                   |      42.00
     49181 | GAB/KIT P4 DR.HANK 9181 ABNT NEGRO HORIZONTAL            |      50.00
     81911 | GAB/KIT P4 DR.HANK 9181 ESPANHOL NEGRO HORIZONTAL        |      50.00
     20463 | GAB/KIT P4 DR.HANK KT-8B56 4B ABNT NEGRO                 |      47.00
     19401 | GAB/KIT P4 MTEK HS-01 NEGRO 4B ABNT                      |      44.00
     19405 | GAB/KIT P4 MTEK HS-01 NEGRO 4B ESPANHOL                  |      44.00
     44503 | GAB/KIT P4 MTEK HS-03 NEGRO 4B ABNT                      |      44.00
     44103 | GAB/KIT P4 MTEK HS-03 NEGRO 4B ESPANHOL                  |      44.00
     74101 | GAB/KIT P4 MTEK HS-07 NEGRO 4B ABNT                      |      44.00
     74105 | GAB/KIT P4 MTEK HS-07 NEGRO 4B ESPANHOL                  |      44.00
     99149 | GAB/KIT P4 MTEK HS-09 NEGRO 4B ABNT                      |      44.00
     55699 | GAB/KIT P4 MTEK HS-09 NEGRO 4B ESPANHOL                  |      44.00
     75127 | GAB/KIT P4 MTEK MT-7505 NEGRO/PLATA 4B ESP.              |      44.00
     40267 | GAB/KIT P4 PIXXO 2D67 NEGRO 4B ESPANHOL                  |      42.00
     26774 | GAB/KIT P4 PIXXO 2D67 NEGRO 4B US                        |      41.00
     80275 | GAB/KIT P4 PIXXO 8C27 NEGRO 2B ESPANHOL                  |      42.00
     65811 | GAB/KIT P4 PIXXO Y658 ACRILICO 4B C/LEITOR ABNT          |      62.00
     35658 | GAB/KIT P4 PIXXO Y658 ACRILICO 4B C/LEITOR ESP.          |      62.00
      7785 | GAB/KIT P4 SATEL. K311 4B NEGRO/ACRILICO                 |      68.00
      3618 | GAB/KIT P4 SATEL. K631 4B NEGRO                          |      36.00
      4821 | GAB/KIT P4 SATEL. K631 4B NEGRO ESPANHOL                 |      35.50
     63604 | GAB/KIT P4 SATEL. K636 4B NEGRO                          |      35.00
     64503 | GAB/KIT P4 SATEL. K645 3B NEGRO ABNT                     |      40.00
     33645 | GAB/KIT P4 SATEL. K645 3B NEGRO ESPANHOL                 |      38.00
     64723 | GAB/KIT P4 SATEL. K647 3B C/LEITOR ABNT NEGRO            |      47.00
     64745 | GAB/KIT P4 SATEL. K647 3B C/LEITOR ESP. NEGRO            |      47.00
     65035 | GAB/KIT P4 SATEL. K650 4B NEGRO ABNT                     |      39.00
     65027 | GAB/KIT P4 SATEL. K650 4B NEGRO ESPANHOL                 |      39.00
      5994 | GAME  W. ADAPTER WGA54G PLAY2/XBOX                       |      51.00
     17846 | GAME DS NINTENDO MALETA CL NGCU-1 AZUL (G)               |       9.00
     28391 | GAME PLAY3 160GB AMERICANO (E)                           |     405.00
     46160 | GAME PLAY3 160GB AMERICANO DESBLOQUEAVEL (E)             |     370.00
     69332 | GAME POD PORTATIL 1GB                                    |      43.00
     35726 | GAME PSP MALETA CL PGC-1 ROJO (G)                        |       9.00
     12588 | GATEWAY WIRED VPN SECURITY AIR LIVE RS-2000              |     264.00
     34252 | GAV.EXT.USB HD 2.5'' SATA MTEK EN252 NEGRO               |       9.00
     56256 | GAV.EXT.USB HD 2.5'' SATA MTEK EN256A NEGRO              |      10.50
     41532 | GAV.EXT.USB HD 2.5'' SATA PROBOX BLANCO                  |      13.00
     36214 | GAV.EXT.USB HD 3.5'' HARD DISKS IDE/SATA NEGRO           |      17.00
     20355 | GAV.EXT.USB HD 3.5'' SATA ALUMINIO                       |      15.00
     97351 | GAV.EXT.USB HD 3.5'' SATA MTEK EN351K NEGRO              |      15.00
     22332 | GAV.EXT.USB HD 3.5'' SATA SATEL. AX-322 NEGRO            |      18.00
     93243 | GAV.EXT.USB HD 3.5'' SATA SATEL.USB/E-S AX-324P NE       |      28.00
     35562 | GAV.EXT.USB HD 3.5'' SATA/IDE ALUMINIO NEGRO             |      16.00
     13725 | GAV.EXT.USB HD NB 2.5'' SATA CRYPTONIX NEGRO             |       8.00
     42520 | GAV.EXT.USB HD NB 2.5'' SATA CRYPTONIX PLATA             |       8.00
     25102 | GAV.EXT.USB HD NB 2.5'' SATA DR.HANK.AH-2510 NEGRO       |      13.00
     25251 | GAV.EXT.USB HD NB 2.5'' SATA MTEK EN251A PLATA           |       9.00
     22259 | GAV.EXT.USB HD NB 2.5'' SATA SATEL.AX-225 NEGRO          |      18.00
     22725 | GAV.EXT.USB HD NB 2.5'' SATA SATEL.AX-227 NEGRO          |      10.00
     25021 | GPS  CAMERA DE RE ORANGE OR-RC21 UNIVERSAL               |      29.00
     49445 | GPS  PROTETOR BUILT E-GPS-BLK P/ GPS NEGRO (G)           |      33.00
     33147 | GPS BAK  BLUETOOTH 3-IN-1 (E)                            |      21.00
     85236 | GPS BAK  TRAVEL HONEY 4-IN-1 (G)                         |      21.00
     54004 | GPS BAK BK-GPS4004DTB 4.3'' TV EMBORR. MAPA (E)          |      72.00
     43056 | GPS BAK BK-GPS4305 4.3'' EMBORR. C/ MAPA (G)             |      56.00
     43052 | GPS BAK BK-GPS4305 4.3'' NEG./AZUL C/ MAPA (G)           |      56.00
     14305 | GPS BAK BK-GPS4305 4.3'' NEG./PLA. C/ MAPA (G)           |      56.00
     30543 | GPS BAK BK-GPS4305 4.3'' NEG./ROJO C/ MAPA (G)           |      56.00
     43555 | GPS BAK BK-GPS4350BT 4.3'' C/ MAPA NEG./AZUL (G)         |      58.00
     65871 | GPS BAK BK-GPS4350BT 4.3'' C/ MAPA NEG./BORDO (E)        |      59.00
     43105 | GPS BAK BK-GPS4350BT 4.3'' C/ MAPA NEG./BORDO (G)        |      58.00
     43653 | GPS BAK BK-GPS4350BT 4.3'' C/ MAPA NEG./PLATA (G)        |      60.00
     43501 | GPS BAK BK-GPS4350BT 4.3'' C/ MAPA NEGRO (G)             |      58.00
     48038 | GPS BAK BK-GPS4803 4.8'' TV EMBORR. MAPA (G)             |      79.00
     40043 | GPS FOLLOWME FM-400 4.3'' NEGRO/PLATA (G)                |      61.00
     12056 | GPS FOLLOWME FM-500 5'' GRIS (G)                         |      89.00
     45633 | GPS GARMIN ETREX  H (G)                                  |     110.00
     63801 | GPS GARMIN FISHFINDER 400C DUAL BEAM SONAR S/G (G)       |     370.00
     51907 | GPS GARMIN FORERUNNER 205 S/G (G)                        |     195.00
     81350 | GPS GARMIN NUVI 1350 4.3'' MAPA *R* S/G (G)              |     106.00
     60255 | GPS GARMIN NUVI 255W 4.3'' NEGRO S/G (G)                 |     120.00
     42327 | GPS MOX MO-G42 4.3'' TV DIG PLATA                        |      64.00
     49415 | GPS MOX MO-G49 4.3'' ISDB-T TV DIG BRONZE                |      73.00
     35264 | GPS MOX MO-G65 5.0'' ISDB-T TV DIG 3D NEGR/ROJ(E)        |      69.00
     36085 | GPS ORANGE NAVIGATION OR-G360M 3.5'' MAPA P/MOTO         |     175.00
     42562 | GPS ORANGE NAVIGATION OR-G425 SLIM 4.3'' NEG/LIL         |      84.00
     40330 | GPS ORANGE NAVIGATION OR-G5000DTV 5'' MAPA NEGRO         |     118.00
     54210 | GPS ORANGE NAVIGATION OR-G540DTV 4.3'' MAPA NEGRO        |     110.00
     65557 | GPS ORANGE NAVIGATION OR-G555TV 5.0'' MAPA NEGRO         |     110.00
     18475 | GPS ORANGE NAVIGATION OR-G600 SLIM 6'' NEGRO             |     118.00
     49580 | GPS RADIONAVEGACION BOOSTER BNAV-9580MPTV                |      83.00
     39780 | GPS RADIONAVEGACION BOOSTER BNAV-9780MPTV (G)            |     105.00
     33035 | GPS SATEL. A-GD33 3.5'' MAPA NEGRO (G)                   |      56.00
     48652 | GPS SATEL. A-GD48 4.3'' MAPA NEGRO (G)                   |      72.00
     47966 | GPS SATEL. A-GD55 5.0'' MAPA NEGRO (G)                   |      84.00
     47989 | GPS SATEL. A-GD71 7.0'' MAPA NEGRO (G)                   |      95.00
     72659 | GPS SATEL. A-GD72 7.0'' MAPA NEGRO (G)                   |      95.00
     63567 | GPS TOMTOM GO630 C/MAPA (G) *R*                          |     120.00
     63692 | GPS TOMTOM ONE 130-S (G) *R*                             |      80.00
     33557 | GPS TOMTOM XL 335-SE 4.3'' LIVE (G) *R*                  |      85.00
     33019 | GPS TOMTOM XL330-S (G)                                   |      86.00
     24704 | GRAV. DE VIDEO DIG BAK PORTATIL 2.4'' BK-V7000           |      39.00
    32139I | GRAV.BRR INT SAMSUNG SATA SH-B123A NEGRO                 |      66.00
     82067 | GRAV.BRW INT PIONEER SATA BDR-206BK NEGRO                |     130.00
     13623 | GRAV.DVD EXT USB KAIOMY 36-MS2 NEGRO                     |      32.00
     38615 | GRAV.DVD EXT USB LG GP08NU06B 8X NEGRO                   |      38.00
     58231 | GRAV.DVD EXT USB LG GP10NB20 8X NEGRO                    |      35.00
     85862 | GRAV.DVD EXT USB SAMSUNG 8X SE-S084D ROJO                |      37.00
     25084 | GRAV.DVD EXT USB SAMSUNG 8X SE-S084F NEGRO               |      38.00
     42122 | GRAV.DVD INT LG IDE GH22NP21 22X NEGRO                   |      31.00
     40222 | GRAV.DVD INT LG SATA GH22NS40 22X NEGRO S/ CABO          |      18.00
     78750 | GRAV.DVD INT LG SATA GH22NS50 22X NEGRO S/CABO           |      18.00
     21924 | GRAV.DVD INT PIONEER SATA DVR-219LBK NEGRO               |      30.00
     12221 | GRAV.DVD INT SAMSUNG IDE SH-S222 NEGRO                   |      28.00
     34732 | HD EXT. 2.5'' 320GB INDYLAB(SAMSUNG) ROSADO              |      58.00
    32063I | HD EXT. 2.5'' 320GB SAMSUNG M2 BEIGE                     |      56.00
    32098I | HD EXT. 2.5'' 320GB SAMSUNG M2 GRIS                      |      56.00
    98320I | HD EXT. 2.5'' 320GB SAMSUNG M2 NARANJA                   |      56.00
    32065I | HD EXT. 2.5'' 320GB SAMSUNG M2 NEGRO                     |      56.00
    48271I | HD EXT. 2.5'' 320GB SAMSUNG S2 CHOCOLATE                 |      57.50
    40331I | HD EXT. 2.5'' 320GB SAMSUNG S2 NEGRO                     |      57.50
    13242I | HD EXT. 2.5'' 320GB SAMSUNG S2 ROJO                      |      57.50
     11918 | HD EXT. 2.5'' 500GB INDYLAB(SAMSUNG) BLANCO              |      67.00
     10415 | HD EXT. 2.5'' 500GB INDYLAB(SAMSUNG) NEGRO               |      67.00
    50036I | HD EXT. 2.5'' 500GB SAMSUNG M2 BEIGE                     |      69.00
    55567I | HD EXT. 2.5'' 500GB SAMSUNG M2 GRIS                      |      69.00
    55595I | HD EXT. 2.5'' 500GB SAMSUNG M2 NARANJA                   |      69.00
    55563I | HD EXT. 2.5'' 500GB SAMSUNG M2 NEGRO                     |      69.00
    50082I | HD EXT. 2.5'' 500GB SAMSUNG S2 AZUL                      |      70.00
    50051I | HD EXT. 2.5'' 500GB SAMSUNG S2 BLANCO                    |      70.00
    50052I | HD EXT. 2.5'' 500GB SAMSUNG S2 CHOCOLATE                 |      70.00
    50053I | HD EXT. 2.5'' 500GB SAMSUNG S2 NEGRO                     |      70.00
    52860I | HD EXT. 2.5'' 500GB SAMSUNG S2 PLATA                     |      70.00
    14831I | HD EXT. 2.5'' 500GB SAMSUNG S2 ROJO                      |      70.00
     97060 | HD EXT. 2.5'' 500GB VERBATIM 97060 NEGRO                 |      88.00
     62486 | HD EXT. 2.5'' 640GB INDYLAB(SAMSUNG) BLANCO              |      77.00
     59603 | HD EXT. 2.5'' 640GB LG HXD5U64PWE BLANCO/VERDE           |      77.00
     56482 | HD EXT. 2.5'' 640GB LG HXD5U64PWP BLANCO/ROSA            |      77.00
    64063I | HD EXT. 2.5'' 640GB SAMSUNG M2 BEIGE                     |      76.00
    64065I | HD EXT. 2.5'' 640GB SAMSUNG M2 GRIS                      |      76.00
    64099I | HD EXT. 2.5'' 640GB SAMSUNG M2 NARANJA                   |      76.00
    64067I | HD EXT. 2.5'' 640GB SAMSUNG M2 NEGRO                     |      76.00
    69640I | HD EXT. 2.5'' 640GB SAMSUNG S2 NEGRO                     |      77.00
    75055I | HD EXT. 2.5'' 750GB SAMSUNG S2 NEGRO                     |      87.00
     77509 | HD EXT. 2.5'' 750GB TOSHIBA PLUS ROJO                    |      86.00
    10097I | HD EXT. 2.5''-1TB SAMSUNG M2 GRIS                        |     105.00
    10099I | HD EXT. 2.5''-1TB SAMSUNG M2 NEGRO                       |     105.00
    64998I | HD EXT. 2.5''-1TB SAMSUNG S2 AZUL                        |     108.00
    12497I | HD EXT. 2.5''-1TB SAMSUNG S2 CHOCOLATE                   |     108.00
    63901I | HD EXT. 2.5''-1TB SAMSUNG S2 NEGRO                       |     108.00
    52841I | HD EXT. 2.5''-1TB SAMSUNG S2 ROJO                        |     108.00
     83061 | HD EXT. 3.5'' 500GB HITACHI 2.0 XL500                    |      66.00
     31505 | HD EXT. 3.5''-1.5TB LACIE 301505 D2 NETWORK 2            |     245.00
     31154 | HD EXT. 3.5''-1TB LACIE 301504 D2 NETWORK 2              |     205.00
     84411 | HD EXT. 3.5''-1TB LACIE 301515KUA NETWORK SPACE 2        |     165.00
     56401 | HD EXT. 3.5''-1TB LACIE 301564KUA LACINEM MIN HDM        |     310.00
     30848 | HD EXT. 3.5''-1TB LACIE 301848U RUGGED                   |     145.00
     31864 | HD EXT. 3.5''-1TB LACIE 301864 LACINEMA HDMI             |     220.00
     30184 | HD EXT. 3.5''-1TB LACIE 301897KUA GRAND HARD             |     119.00
     18848 | HD EXT. 3.5''-1TB LACIE 301984 RUGGED TRIPLE             |     224.00
     93053 | HD EXT. 3.5''-1TB LACIE P'9220 3.0/2.0 USB PORSCHE       |     172.00
     30352 | HD EXT. 3.5''-2TB LACIE 301352U 2BIG QUADRA              |     322.00
     31516 | HD EXT. 3.5''-2TB LACIE 301516KUA NETWORK SPACE 2        |     225.00
     80453 | HD EXT. 3.5''-2TB LACIE 301865KUA LACINEMA HDMI          |     265.00
    23123I | HD EXT. 3.5''-2TB SAMSUNG M3 NEGRO                       |     129.00
     80510 | HD EXT. 3.5''-3TB LACIE 301508U BIG NETWORK              |     410.00
     82776 | HD EXT. 3.5''-3TB LACIE 301549U QUADRA                   |     385.00
     43013 | HD EXT. 3.5''-4TB LACIE 301300U ETHERNET                 |     890.00
